chi,U_m_s,PPWz,esquema,regime_analitico,k_m-1,m_m-1,k_sobre_m,lambda_z_m,dz_m,omega_intrinseca_analitica_s-1,omega_intrinseca_numerica_s-1,omega_observada_analitica_s-1,omega_observada_numerica_s-1,erro_rel_intrinseca_pct,residuo_omega_observada_sobre_N_pct
0.75,15.0,4,"Nao-alternada, 4a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.009606477081113826,0.0,-0.0006064770811138251,6.738634234598055,5.053975675948543
0.75,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.009178647039193166,0.0,-0.00017864703919316487,1.984967102146276,1.4887253266097071
0.75,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.009397848646316235,0.0,-0.00039784864631623416,4.420540514624824,3.315405385968618
0.75,15.0,6,"Nao-alternada, 2a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009695292247700204,0.0,-0.0006952922477002025,7.725469418891138,5.794102064168354
0.75,15.0,6,"Nao-alternada, 4a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009139228919686413,0.0,-0.00013922891968641202,1.546987996515689,1.160240997386767
0.75,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009029991753719447,0.0,-2.9991753719446276e-05,0.3332417079938475,0.2499312809953856
0.75,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009178647039193166,0.0,-0.00017864703919316487,1.984967102146276,1.4887253266097071
0.75,15.0,8,"Nao-alternada, 2a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.009397848646316235,0.0,-0.00039784864631623416,4.420540514624824,3.315405385968618
0.75,15.0,8,"Nao-alternada, 4a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.009046487076888734,0.0,-4.64870768887328e-05,0.5165230765414754,0.38739230740610664
0.75,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.00900895977278234,0.0,-8.959772782339212e-06,0.09955303091488013,0.07466477318616009
